winner;loser;handicap
8;11;
9;11;-2p
1;7;
3;4;-4p
6;2;
13;12;
7;11;
5;10;
1;3;
12;4;
13;2;
10;11;
5;1;
6;7;
13;4;
14;3;
12;2;
5;11;
1;13;-2p
2;11;
7;10;
1;2;
13;11;-B
5;12;
10;4;
9;8;
13;3;+4p
6;14;
2;7;
14;13;-2p
7;2;
9;1;-2p
10;4;
2;13;
13;10;
8;12;
9;7;
3;2;
5;4;
9;12;
1;6;
13;4;
8;2;
9;13;-6p
5;6;
9;4;-6p
1;15;
2;13;
9;4;-6p
9;2;
1;16;
15;16;
